survpref,area,datatype,size,own,naics,year,agglvl,statq1,estabq1,m1,m2,m3,wageq1,txwageq1,cntrbq1,awwq1,statq2,estabq2,m4,m5,m6,wageq2,txwageq2,cntrbq2,awwq2,statq3,estabq3,m7,m8,m9,wageq3,txwageq3,cntrbq3,awwq3,statq4,estabq4,m10,m11,m12,wageq4,txwageq4,cntrbq4,awwq4,annstat,annestab,annemp,annwage,antxwage,anncntrb,annaww,aap
ENU,24001,0,0,0,10,2000,70,,1814,28983,29135,29686,183183477,0,0,481,,1804,30364,30626,30655,185079113,0,0,466,,1797,29129,28968,30199,183057048,0,0,478,,1807,30973,30998,31027,196650625,0,0,488,,1806,30062,747970263,0,0,478,24881
ENU,24001,0,0,1,10,2000,71,,26,595,604,652,6225628,0,0,776,,24,657,653,652,6504157,0,0,765,,22,618,624,601,6301219,0,0,789,,23,602,599,607,6576736,0,0,839,,24,622,25607740,0,0,792,41170
ENU,24001,0,0,1,102,2000,72,,26,595,604,652,6225628,0,0,776,,24,657,653,652,6504157,0,0,765,,22,618,624,601,6301219,0,0,789,,23,602,599,607,6576736,0,0,839,,24,622,25607740,0,0,792,41170
ENU,24001,0,0,1,1021,2000,73,,12,231,233,230,2472569,0,0,822,,12,231,230,231,2082104,0,0,694,,12,227,231,230,2444830,0,0,820,,12,228,227,235,2202831,0,0,737,,12,230,9202334,0,0,768,39952
ENU,24001,0,0,1,1028,2000,73,,14,364,371,422,3753059,0,0,749,,12,426,423,421,4422053,0,0,804,,10,391,393,371,3856389,0,0,771,,11,374,372,372,4373905,0,0,903,,12,392,16405406,0,0,806,41886
ENU,24001,0,0,1,48-49,2000,74,,12,231,233,230,2472569,0,0,822,,12,231,230,231,2082104,0,0,694,,12,227,231,230,2444830,0,0,820,,12,228,227,235,2202831,0,0,737,,12,230,9202334,0,0,768,39952
ENU,24001,0,0,1,491,2000,75,,12,231,233,230,2472569,0,0,822,,12,231,230,231,2082104,0,0,694,,12,227,231,230,2444830,0,0,820,,12,228,227,235,2202831,0,0,737,,12,230,9202334,0,0,768,39952
ENU,24001,0,0,1,4911,2000,76,,12,231,233,230,2472569,0,0,822,,12,231,230,231,2082104,0,0,694,,12,227,231,230,2444830,0,0,820,,12,228,227,235,2202831,0,0,737,,12,230,9202334,0,0,768,39952
ENU,24001,0,0,1,49111,2000,77,,12,231,233,230,2472569,0,0,822,,12,231,230,231,2082104,0,0,694,,12,227,231,230,2444830,0,0,820,,12,228,227,235,2202831,0,0,737,,12,230,9202334,0,0,768,39952
ENU,24001,0,0,1,491110,2000,78,,12,231,233,230,2472569,0,0,822,,12,231,230,231,2082104,0,0,694,,12,227,231,230,2444830,0,0,820,,12,228,227,235,2202831,0,0,737,,12,230,9202334,0,0,768,39952
